,date,open,close,high,low,code
1372,2015-11-11,18.516,19.012,19.461,18.114,000776
1373,2015-11-12,19.04,18.394,19.049,18.245,000776
1374,2015-11-13,18.067,18.357,18.853,18.02,000776
1375,2015-11-16,17.917,18.02,18.067,17.674,000776
1376,2015-11-17,18.291,18.142,19.33,18.123,000776
1377,2015-11-18,18.114,17.58,18.787,17.403,000776
1378,2015-11-19,17.608,17.852,17.852,17.403,000776
1379,2015-11-20,17.936,17.693,17.992,17.599,000776
1380,2015-11-23,17.777,17.758,18.207,17.571,000776
1381,2015-11-24,17.646,18.142,18.366,17.608,000776
1382,2015-11-25,18.095,18.245,18.357,17.833,000776
1383,2015-11-26,18.422,18.058,18.825,18.039,000776
1384,2015-11-27,17.73,16.289,17.889,16.252,000776
1385,2015-11-30,16.401,16.467,16.785,15.728,000776
1386,2015-12-01,16.448,16.701,16.729,16.308,000776
1387,2015-12-02,16.785,18.376,18.376,16.71,000776
1388,2015-12-03,18.628,18.806,19.629,18.245,000776
1389,2015-12-04,18.441,18.928,19.358,18.086,000776
1390,2015-12-07,18.797,18.544,18.862,18.207,000776
1391,2015-12-08,18.301,18.104,18.712,17.674,000776
1392,2015-12-09,17.964,18.058,18.291,17.665,000776
1393,2015-12-10,18.151,17.917,18.956,17.917,000776
1394,2015-12-11,17.468,17.739,18.366,17.094,000776
1395,2015-12-14,17.403,19.517,19.517,17.346,000776
1396,2015-12-15,19.639,18.9,19.639,18.815,000776
1397,2015-12-16,19.124,19.461,20.022,19.003,000776
1398,2015-12-17,19.76,19.788,20.462,19.414,000776
1399,2015-12-18,19.629,19.573,20.078,19.414,000776
1400,2015-12-21,19.452,20.163,20.565,19.386,000776
1401,2015-12-22,20.097,20.247,20.453,19.854,000776
1402,2015-12-23,20.378,20.397,21.856,20.238,000776
1403,2015-12-24,19.985,19.667,20.228,19.19,000776
1404,2015-12-25,19.639,19.601,19.854,19.283,000776
1405,2015-12-28,19.854,18.712,19.901,18.666,000776
1406,2015-12-29,18.61,18.89,18.984,18.553,000776
1407,2015-12-30,18.918,18.638,19.031,18.291,000776
1408,2015-12-31,18.638,18.198,18.834,18.17,000776
1409,2016-01-04,18.058,16.392,18.217,16.383,000776
1410,2016-01-05,15.775,16.617,16.813,15.765,000776
1411,2016-01-06,16.598,16.982,17.113,16.373,000776
